"title","popularity","weighted_average","score","bag_of_words"
"American History X","0.006870990027813241","0.8655747112250276","0.35035247850669904","drama derek vineyard is paroled after serving  years in prison for killing two africanamerican men through his brother danny vineyards narration we learn that before going to prison derek was a skinhead and the leader of a violent white supremacist gang that committed acts of racial crime throughout la and his actions greatly influenced danny reformed and fresh out of prison derek severs contact with the gang and becomes determined to keep danny from going down the same violent path as he did "
"Scarface","0.022668935880899497","0.8355730973976179","0.34783060048758685","action crime drama after getting a green card in exchange for assassinating a cuban government official tony montana stakes a claim on the drug trade in miami viciously murdering anyone who stands in his way tony eventually becomes the biggest drug lord in the state controlling nearly all the cocaine that comes through miami but increased pressure from the police wars with colombian drug cartels and his own drugfueled paranoia serve to fuel the flames of his eventual downfall "
"City of God","0.016688571671387924","0.8431601345733843","0.3472771968321865","drama crime in the povertystricken favelas of rio de janeiro in the s two young men choose different paths rocket is a budding photographer who documents the increasing drugrelated violence of his neighborhood while josé “zé” pequeno is an ambitious drug dealer diving into a dangerous life of crime "
"WALL·E","0.01922121044202324","0.8392711236644186","0.3472411757309814","animation family science fiction what if mankind had to leave earth and somebody forgot to turn the last robot off after hundreds of years doing what he was built for wall•e discovers a new purpose in life when he meets a sleek search robot named eve eve comes to realize that wall•e has inadvertently stumbled upon the key to the planets future and races back to space to report to the humans meanwhile wall•e chases eve across the galaxy and sets into motion one of the most imaginative adventures ever brought to the big screen "
"The Truman Show","0.01946142853245249","0.8381613351013903","0.34694139116002765","comedy drama every second of every day from the moment he was born for the last thirty years truman burbank has been the unwitting star of the longest running most popular documentarysoap opera in history the pictureperfect town of seahaven that he calls home is actually a gigantic soundstage trumans friends and family  everyone he meets in fact  are actors he lives every moment under the unblinking gaze of thousands of hidden tv cameras "
"Good Will Hunting","0.018759590299579555","0.8386106215600735","0.34670000280377716","drama when professors discover that an aimless janitor is also a math genius a therapist helps the young man confront the demons that are holding him back "
"Memento","0.009685555774030668","0.8501375362410661","0.3458663479608449","mystery thriller leonard shelby is tracking down the man who raped and murdered his wife the difficulty of locating his wifes killer however is compounded by the fact that he suffers from a rare untreatable form of shortterm memory loss although he can recall details of life before his accident leonard cannot remember what happened fifteen minutes ago where hes going or why "
"A Clockwork Orange","0.016120327311260237","0.8400432291568392","0.34568948804949184","science fiction crime in a nearfuture britain young alexander delarge and his pals get their kicks beating and raping anyone they please when not destroying the lives of others alex swoons to the music of beethoven the state eager to crack down on juvenile crime gives an incarcerated alex the option to undergo an invasive procedure thatll rob him of all personal agency in a time when conscience is a commodity can alex change his tune "
"Toy Story","0.03140020490665834","0.8149027147116181","0.3448012088286423","animation adventure family comedy led by woody andys toys live happily in his room until andys birthday brings buzz lightyear onto the scene afraid of losing his place in andys heart woody plots against buzz but when circumstances separate buzz and woody from their owner the duo eventually learns to put aside their differences "
"Green Book","0.012645632217322737","0.8429506170160275","0.3447676261368047","drama history tony lip a bouncer in  is hired to drive pianist don shirley on a tour through the deep south in the days when african americans forced to find alternate accommodations and services due to segregation laws below the masondixon line relied on a guide called the negro motorist green book "
"Inside Out","0.04221785899198092","0.7985070305441078","0.34473352761283166","animation family adventure drama comedy when yearold riley moves to a new city her emotions team up to help her through the transition joy fear anger disgust and sadness work together but when joy and sadness get lost they must journey through unfamiliar places to get back home "
"Eternal Sunshine of the Spotless Mind","0.02126306421067189","0.8276910829339419","0.3438342716999799","science fiction drama romance joel barish heartbroken that his girlfriend underwent a procedure to erase him from her memory decides to do the same however as he watches his memories of her fade away he realises that he still loves her and may be too late to correct his mistake "
"The Departed","0.011898635492254221","0.8415613332965155","0.3437637146139587","drama thriller crime to take down south bostons irish mafia the police send in one of their own to infiltrate the underworld not realizing the syndicate has done likewise while an undercover cop curries favor with the mob kingpin a career criminal rises through the police ranks but both sides soon discover theres a mole among them "
"Oppenheimer","0.04118234967788511","0.7930888112110484","0.34194493429115047","drama history the story of j robert oppenheimers role in the development of the atomic bomb during world war ii "
"Terminator 2: Judgment Day","0.019817365259132913","0.8234211865233656","0.341258893764826","action thriller science fiction set ten years after the events of the original james cameron’s classic scifi action flick tells the story of a second attempt to get the rid of rebellion leader john connor this time targeting the boy himself however the rebellion has sent a reprogrammed terminator to protect connor "
"Soul","0.031179116455284157","0.8051449061805951","0.34076543234540857","animation family comedy fantasy joe gardner is a middle school teacher with a love for jazz music after a successful audition at the half note club he suddenly gets into an accident that separates his soul from his body and is transported to the you seminar a center in which souls develop and gain passions before being transported to a newborn child joe must enlist help from the other soulsintraining like  a soul who has spent eons in the you seminar in order to get back to earth "
"Oldboy","0.012645005016042241","0.832761336023266","0.34069153741893177","drama thriller mystery action with no clue how he came to be imprisoned drugged and tortured for  years a desperate man seeks revenge on his captors "
"Up","0.025980558641908524","0.8092743696348601","0.3392980830390892","animation comedy family adventure carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest but at age  life seems to have passed him by until a twist of fate and a persistent year old wilderness explorer named russell gives him a new lease on life "
"Princess Mononoke","0.014006031794714512","0.8256757633972314","0.33867392443572125","adventure fantasy animation ashitaka a prince of the disappearing emishi people is cursed by a demonized boar god and must journey to the west to find a cure along the way he encounters san a young human woman fighting to protect the forest and lady eboshi who is trying to destroy it ashitaka must find a way to bring balance to this conflict "
"Taxi Driver","0.019918344665292468","0.8158484014905476","0.33829036739539453","crime drama a mentally unstable vietnam war veteran works as a nighttime taxi driver in new york city where the perceived decadence and sleaze feed his urge for violent action "
"Apocalypse Now","0.013950838082031028","0.8232981799836117","0.3376897748426633","drama war at the height of the vietnam war captain benjamin willard is sent on a dangerous mission that officially does not exist nor will it ever exist his goal is to locate  and eliminate  a mysterious green beret colonel named walter kurtz who has been leading his personal army on illegal guerrilla missions into enemy territory "
"Reservoir Dogs","0.008822526812070741","0.8301170177459325","0.33734032318561546","crime thriller a botched robbery indicates a police informant and the pressure mounts in the aftermath at a warehouse crime begets violence as the survivors  veteran mr white newcomer mr orange psychopathic parolee mr blonde bickering weasel mr pink and nice guy eddie  unravel "
"The Usual Suspects","0.009236166056556621","0.8261568500299912","0.33600443964593046","drama crime thriller held in an la interrogation room verbal kint attempts to convince the feds that a mythic crime lord keyser soze not only exists but was also responsible for drawing him and his four partners into a multimillion dollar heist that ended with an explosion in san pedro harbor – leaving few survivors verbal lures his interrogators with an incredible story of the crime lords almost supernatural prowess "
"Call Me by Your Name","0.015973875812264858","0.8149575009463363","0.3355673258658935","romance drama in s italy a relationship begins between seventeenyearold teenage elio and the older adult man hired as his fathers research assistant "
"The Imitation Game","0.01824465804829387","0.8110617272010023","0.33537148570937725","history drama thriller war based on the real life story of legendary cryptanalyst alan turing the film portrays the nailbiting race against time by turing and his brilliant team of codebreakers at britains topsecret government code and cypher school at bletchley park during the darkest days of world war ii "
"The Help","0.018064024079511562","0.8107441823428589","0.33513608738485057","drama aibileen clark is a middleaged africanamerican maid who has spent her life raising white children and has recently lost her only son minny jackson is an africanamerican maid who has often offended her employers despite her familys struggles with money and her desperate need for jobs and eugenia skeeter phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared these three stories intertwine to explain how life in jackson mississippi revolves around the help yet they are always kept at a certain distance because of racial lines "
"Zootopia","0.048384188381158995","0.763144473125833","0.3342883022790286","animation adventure family comedy determined to prove herself officer judy hopps the first bunny on zootopias police force jumps at the chance to crack her first case  even if it means partnering with scamartist fox nick wilde to solve the mystery "
"Zack Snyder's Justice League","0.022167802057784684","0.8019573341227273","0.33408361488376176","action adventure fantasy determined to ensure supermans ultimate sacrifice was not in vain bruce wayne aligns forces with diana prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions "
"Rear Window","0.006535437342748879","0.8245053347904594","0.3337233963218331","thriller mystery a wheelchairbound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder "
"Kill Bill: Vol. 1","0.014142134472581738","0.8123627547915675","0.33343038260017605","action crime an assassin is shot by her ruthless employer bill and other members of their assassination circle – but she lives to plot her vengeance "
"Pirates of the Caribbean: The Curse of the Black Pearl","0.03978463162430392","0.7724203073871225","0.3328389019294314","adventure fantasy action after port royal is attacked and pillaged by a mysterious pirate crew capturing the governors daughter elizabeth swann in the process william turner asks freewilling pirate jack sparrow to help him locate the crews ship—the black pearl—so that he can rescue the woman he loves "
